<DATE>;<TIME>;<OPEN> ;<HIGH>;<LOW> ;<CLOSE> ;<VOL>
20.10.2017;160000;23,292.5264456;23,326.6975994;23,290.9963939;23,326.6975994;3,517
20.10.2017;170000;23,326.6975994;23,329.6276983;23,326.6975994;23,329.4176912;1,2
23.10.2017;100000;23,349.7383773;23,368.3690063;23,328.9576757;23,362.1087950;1,8
23.10.2017;110000;23,356.8386170;23,366.8889564;23,343.6381713;23,346.8982814;3,597
23.10.2017;120000;23,345.1282216;23,369.1590330;23,342.8581450;23,351.6084404;3,596
23.10.2017;130000;23,351.7484452;23,354.6185421;23,332.5877982;23,346.8682804;3,59
23.10.2017;140000;23,346.8582801;23,349.8583814;23,322.3674532;23,333.4578276;3,595
23.10.2017;150000;23,333.7278367;23,335.2378877;23,311.4570848;23,327.0076098;3,591
23.10.2017;160000;23,327.0976129;23,328.6776662;23,274.8358483;23,281.8860863;3,563
23.10.2017;170000;23,281.6760793;23,281.9760894;23,274.7458453;23,274.7458453;1,2
24.10.2017;100000;23,347.5683040;23,466.7823292;23,344.0181842;23,422.1708229;1,703
24.10.2017;110000;23,421.4107972;23,467.5123538;23,417.6206693;23,458.7620584;3,473
24.10.2017;120000;23,458.8820624;23,477.6726969;23,446.1816336;23,470.8024649;3,527
24.10.2017;130000;23,470.4524531;23,486.0429795;23,461.0821367;23,477.6826972;3,548
24.10.2017;140000;23,478.8627370;23,479.9927752;23,464.2422434;23,470.5924578;3,503
24.10.2017;150000;23,470.4724538;23,478.3827208;23,445.8416221;23,448.7617207;3,526
24.10.2017;160000;23,450.2217700;23,461.8721634;23,430.4211015;23,435.6712787;3,408
24.10.2017;170000;23,443.6515482;23,444.4115738;23,442.4115063;23,442.5515110;1,199
25.10.2017;100000;23,431.8811508;23,452.3018402;23,419.3507277;23,422.7308418;1,798
25.10.2017;110000;23,422.8508459;23,440.4914415;23,354.6385428;23,362.4888078;3,6
25.10.2017;120000;23,362.5488098;23,362.6088119;23,305.8568957;23,319.7073633;3,59
25.10.2017;130000;23,320.5773927;23,320.6273944;23,251.8950737;23,281.1060600;3,596
25.10.2017;140000;23,281.1060600;23,325.3275531;23,262.1854212;23,319.7973664;3,59
25.10.2017;150000;23,319.7773657;23,347.4783010;23,311.7870959;23,320.1273775;3,59
25.10.2017;160000;23,320.0773758;23,351.9784529;23,296.5565817;23,329.8777067;3,567
25.10.2017;170000;23,329.8777067;23,330.5677300;23,329.7377020;23,330.2477192;1,199
26.10.2017;100000;23,381.6794558;23,460.6321215;23,381.6794558;23,450.8217903;1,799
26.10.2017;110000;23,452.6718527;23,453.4718797;23,413.6005335;23,440.0014249;3,598
26.10.2017;120000;23,440.0314259;23,454.1719034;23,391.0097708;23,408.6703671;3,596
26.10.2017;130000;23,408.4603600;23,437.3713361;23,400.3200851;23,413.5105305;3,596
26.10.2017;140000;23,413.4905298;23,434.6412440;23,406.4602925;23,427.6410076;3,595
26.10.2017;150000;23,427.7910127;23,430.5311052;23,412.7405045;23,415.1305852;3,588
26.10.2017;160000;23,415.4405957;23,432.6411764;23,400.6500963;23,400.6500963;3,567
26.10.2017;170000;23,400.6500963;23,401.8601371;23,400.6500963;23,401.6501300;1,199
27.10.2017;100000;23,419.9507479;23,419.9507479;23,353.9485195;23,387.7396604;1,799
27.10.2017;110000;23,386.9396334;23,433.0311896;23,386.8096290;23,402.6401635;3,559
27.10.2017;120000;23,403.3901888;23,440.5414432;23,403.3901888;23,428.6810427;3,596
27.10.2017;130000;23,428.6610420;23,450.1917690;23,422.9508492;23,430.8511160;3,596
27.10.2017;140000;23,430.4211015;23,436.7313145;23,416.5406328;23,433.2311963;3,592
27.10.2017;150000;23,433.1311930;23,447.7416863;23,426.5409705;23,432.3311660;3,587
27.10.2017;160000;23,432.8211825;23,441.9914921;23,404.3402209;23,434.9512544;3,573
27.10.2017;170000;23,434.9512544;23,435.0812588;23,433.5012055;23,434.9812554;1,199
30.10.2017;100000;23,406.5402952;23,406.5402952;23,341.8281102;23,392.1298086;1,797
30.10.2017;110000;23,391.8297985;23,429.5410717;23,391.8297985;23,414.6605693;3,6
30.10.2017;120000;23,414.7005707;23,422.6408388;23,347.8783145;23,359.6587123;3,598
30.10.2017;130000;23,359.7287146;23,367.1889665;23,328.6576655;23,359.2586987;3,599
30.10.2017;140000;23,359.2987001;23,373.8991931;23,349.9683851;23,355.6285762;3,597
30.10.2017;150000;23,355.9585873;23,368.9990276;23,349.9583847;23,356.8786184;3,6
30.10.2017;160000;23,357.0286234;23,373.5491812;23,335.7579053;23,349.1183564;3,585
30.10.2017;170000;23,349.1783584;23,350.2883959;23,349.1783584;23,349.5283702;1,198
31.10.2017;100000;23,370.0090617;23,384.2595429;23,335.1778857;23,344.7082075;1,799
31.10.2017;110000;23,346.4582666;23,369.2890374;23,337.4979640;23,367.0789628;3,6
31.10.2017;120000;23,366.5989466;23,385.6395895;23,357.7686484;23,374.6492184;3,6
31.10.2017;130000;23,374.7592221;23,385.5195854;23,366.2589351;23,369.1690334;3,6
31.10.2017;140000;23,369.2090347;23,377.1293021;23,360.4287382;23,376.2692731;3,6
31.10.2017;150000;23,376.6492859;23,394.8098991;23,372.7791552;23,393.8598670;3,6
31.10.2017;160000;23,393.7898646;23,407.1403154;23,366.4689422;23,377.4793139;3,569
31.10.2017;170000;23,377.4793139;23,378.0993349;23,377.4793139;23,378.0293325;1,199
01.11.2017;100000;23,443.6915495;23,518.5040755;23,443.6915495;23,512.2638648;1,799
01.11.2017;110000;23,512.3838688;23,515.1539624;23,475.9926401;23,476.0126408;3,6
01.11.2017;120000;23,476.2126476;23,481.7928360;23,413.4805295;23,423.4308654;3,599
01.11.2017;130000;23,423.2608597;23,441.6614810;23,417.6406699;23,425.4809347;3,599
01.11.2017;140000;23,425.3009286;23,426.9109829;23,389.6997266;23,405.6402648;3,599
01.11.2017;150000;23,405.5702624;23,449.6317501;23,403.6701982;23,447.1216653;3,599
01.11.2017;160000;23,447.1316657;23,453.0318649;23,427.3209968;23,436.7113138;3,577
01.11.2017;170000;23,436.7113138;23,437.1213277;23,435.8012831;23,435.8012831;1,199
02.11.2017;100000;23,464.0322363;23,464.0322363;23,425.7909451;23,431.2911308;1,799
02.11.2017;110000;23,431.2711302;23,443.1715320;23,351.7684458;23,423.2008577;3,597
02.11.2017;120000;23,424.0808874;23,453.8818936;23,414.8205747;23,433.9112193;3,599
02.11.2017;130000;23,433.6012088;23,478.2927178;23,427.6410076;23,476.0526422;3,6
02.11.2017;140000;23,476.1826465;23,477.7226985;23,455.2019382;23,462.2921776;3,6
02.11.2017;150000;23,462.3821806;23,471.9925051;23,455.5719507;23,459.8820962;3,599
02.11.2017;160000;23,459.9220975;23,532.1745371;23,458.5320506;23,515.8839870;3,578
02.11.2017;170000;23,515.6039776;23,517.0540265;23,515.5339752;23,517.0540265;1,199
03.11.2017;100000;23,550.3851519;23,553.5352583;23,482.3628552;23,495.5232996;1,799
03.11.2017;110000;23,497.2133566;23,519.8341204;23,488.4530608;23,509.8137821;3,6
03.11.2017;120000;23,509.9537868;23,534.6546208;23,507.9837203;23,529.1944364;3,6
03.11.2017;130000;23,529.0044300;23,554.5252917;23,529.0044300;23,543.9449345;3,508
03.11.2017;140000;23,543.8849324;23,557.8554041;23,537.8847298;23,549.1451100;3,6
03.11.2017;150000;23,549.2151124;23,552.9452383;23,523.5442457;23,532.5545499;3,6
03.11.2017;160000;23,532.4945479;23,538.3347450;23,518.2940684;23,538.3347450;3,582
03.11.2017;170000;23,538.6547558;23,540.0848041;23,538.6547558;23,539.9848008;1,2
06.11.2017;100000;23,534.7546242;23,555.1353123;23,521.5441781;23,554.9853072;1,798
06.11.2017;110000;23,554.1952806;23,567.0857158;23,540.9348328;23,544.2949463;3,6
06.11.2017;120000;23,544.2249439;23,559.5954629;23,528.9844293;23,545.2949800;3,6
06.11.2017;130000;23,545.2649790;23,564.2256192;23,538.9647663;23,562.4855605;3,599
06.11.2017;140000;23,562.6555662;23,568.1057502;23,551.8352009;23,560.0754791;3,595
06.11.2017;150000;23,560.3554885;23,575.6560052;23,553.4052539;23,571.7058718;3,599
06.11.2017;160000;23,571.6458698;23,575.0659852;23,549.6951286;23,549.7651310;3,576
06.11.2017;170000;23,549.7651310;23,550.1751448;23,549.2151124;23,549.2151124;1,198
07.11.2017;100000;23,574.8259771;23,602.5669138;23,560.3054869;23,591.7365481;1,797
07.11.2017;110000;23,591.4265376;23,602.9169256;23,520.0841288;23,532.5045482;3,597
07.11.2017;120000;23,536.0946694;23,560.8855064;23,487.9430436;23,488.5230632;3,597
07.11.2017;130000;23,488.6530676;23,517.6040451;23,484.9829437;23,511.0338233;3,597
07.11.2017;140000;23,511.1338266;23,542.7948956;23,508.7237453;23,534.4446137;3,599
07.11.2017;150000;23,534.4446137;23,543.3149132;23,518.9140893;23,520.4541413;3,597
07.11.2017;160000;23,520.4641417;23,556.3753542;23,506.9136841;23,551.2451809;3,578
07.11.2017;170000;23,551.2451809;23,558.0254099;23,551.1751786;23,558.0254099;1,199
08.11.2017;100000;23,543.3949159;23,555.1553130;23,511.3538341;23,514.8039506;1,798
08.11.2017;110000;23,514.5039404;23,542.3448804;23,511.5138395;23,535.4746485;3,6
08.11.2017;120000;23,535.5046495;23,549.1451100;23,526.6143493;23,544.6049567;3,544
08.11.2017;130000;23,544.8349645;23,567.2757222;23,535.4046461;23,563.6155986;2,5
08.11.2017;140000;23,564.5056287;23,575.7960099;23,564.0656138;23,566.9857124;2,5
08.11.2017;150000;23,567.0457144;23,572.7459069;23,547.9650702;23,560.0354777;3,589
08.11.2017;160000;23,559.6954663;23,570.6158350;23,545.4249844;23,563.5555966;3,576
08.11.2017;170000;23,563.5555966;23,564.7756378;23,563.4855942;23,564.1556169;1,198
09.11.2017;100000;23,492.8832104;23,492.8832104;23,412.8205072;23,447.1916677;1,799
09.11.2017;110000;23,447.7516866;23,517.5340427;23,446.9916609;23,485.0529460;3,599
09.11.2017;120000;23,484.4229248;23,490.4731291;23,366.2289341;23,395.7299302;3,598
09.11.2017;130000;23,395.7999325;23,396.5199568;23,310.8070628;23,365.7089165;3,593
09.11.2017;140000;23,365.8789223;23,422.4908337;23,347.6983084;23,413.2805227;3,599
09.11.2017;150000;23,412.9705123;23,448.9317265;23,412.6205004;23,429.3210643;3,597
09.11.2017;160000;23,429.1510586;23,477.5426925;23,426.0709546;23,464.3122458;3,582
09.11.2017;170000;23,464.1722410;23,464.1722410;23,462.4521830;23,462.7321924;1,199
10.11.2017;100000;23,433.5012055;23,452.9918635;23,402.3101523;23,420.0007496;1,798
10.11.2017;110000;23,418.2506905;23,439.1913976;23,393.7498633;23,419.6407375;3,598
10.11.2017;120000;23,419.6507378;23,425.6009387;23,398.7500321;23,423.4308654;3,597
10.11.2017;130000;23,423.4608665;23,426.6809752;23,402.3701544;23,402.7401668;3,6
10.11.2017;140000;23,402.8401702;23,418.8107095;23,397.2999832;23,408.6903677;3,598
10.11.2017;150000;23,408.6403661;23,436.2412980;23,408.5903644;23,435.0212568;3,597
10.11.2017;160000;23,435.1112598;23,438.0913604;23,421.7208077;23,425.3009286;3,581
10.11.2017;170000;23,425.3009286;23,425.3009286;23,423.0008509;23,423.0008509;1,199
13.11.2017;100000;23,368.2590026;23,421.0707858;23,344.1281879;23,417.4906649;1,799
13.11.2017;110000;23,418.0106824;23,452.5018470;23,414.9405788;23,427.0009860;3,6
13.11.2017;120000;23,426.6709748;23,444.1415647;23,421.7008070;23,441.4514739;3,599
13.11.2017;130000;23,441.6214796;23,453.3418754;23,436.6313111;23,447.3016714;3,6
13.11.2017;140000;23,447.2816707;23,454.3519095;23,433.1811947;23,451.9218274;3,599
13.11.2017;150000;23,451.5018132;23,459.4620820;23,445.1215978;23,448.3417065;3,6
13.11.2017;160000;23,448.2017018;23,462.4721836;23,431.7411460;23,444.1715657;3,571
13.11.2017;170000;23,443.9615586;23,443.9615586;23,440.2114320;23,440.4914415;1,199
14.11.2017;100000;23,389.1897093;23,397.7899997;23,344.0181842;23,344.0281845;1,799
14.11.2017;110000;23,344.9482156;23,400.5200919;23,272.3557646;23,386.7096256;3,589
14.11.2017;120000;23,386.9096323;23,395.2399136;23,367.3789729;23,391.2397785;3,598
14.11.2017;130000;23,391.1097742;23,409.5103954;23,366.1589317;23,373.5491812;3,596
14.11.2017;140000;23,373.4591782;23,395.4299200;23,360.6087443;23,387.7196597;3,599
14.11.2017;150000;23,387.5796550;23,406.5202945;23,383.6195213;23,403.6201966;3,599
14.11.2017;160000;23,403.4301901;23,414.8705764;23,383.0495020;23,413.1005167;3,564
14.11.2017;170000;23,410.3304231;23,410.5304299;23,409.0203789;23,410.2604208;1,201
15.11.2017;100000;23,335.3778924;23,335.3778924;23,243.5347915;23,252.9851105;1,796
15.11.2017;110000;23,253.1151149;23,323.6774974;23,244.4748232;23,322.3074511;3,599
15.11.2017;120000;23,322.4274552;23,345.7782436;23,310.3470473;23,330.5077280;3,596
15.11.2017;130000;23,330.4677267;23,330.5577297;23,298.6866536;23,322.9874741;3,599
